date,year,month,week_of_year,district,state,population,rainfall_mm,rainfall_7d_mm,rainfall_30d_mm,flood_risk_score,flood_severity,affected_population,demand_food_packets,demand_water_liters,demand_ors_packets,demand_medical_kits,demand_tarpaulins
2018-01-01,2018,1,1,Puri,Odisha,1497888,6.0,43.6,154.5,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Kendrapara,Odisha,1439891,3.8,19.1,78.6,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Jagatsinghpur,Odisha,1136605,7.9,40.0,192.4,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Balasore,Odisha,2317419,3.8,17.5,103.8,0.047,0.042,363,108,32790,48,6,76
2018-01-01,2018,1,1,Bhadrak,Odisha,1506522,5.4,35.2,99.3,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Cuttack,Odisha,2618708,3.0,15.9,89.2,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Jajpur,Odisha,1826275,3.6,15.4,108.2,0.031,0.03,580,192,53117,50,9,128
2018-01-01,2018,1,1,Mayurbhanj,Odisha,2513895,2.0,8.9,40.9,0.055,0.046,1496,473,175327,203,25,318
2018-01-01,2018,1,1,Ganjam,Odisha,3520151,5.7,42.6,136.7,0.077,0.07,2598,631,240701,493,54,490
2018-01-01,2018,1,1,Khordha,Odisha,2246341,6.8,35.7,152.4,0.001,0.001,1,0,98,0,0,0
2018-01-01,2018,1,1,Darbhanga,Bihar,3921971,6.8,51.7,125.4,0.016,0.017,428,144,50280,21,7,78
2018-01-01,2018,1,1,Sitamarhi,Bihar,3419622,7.5,59.0,114.2,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Madhubani,Bihar,4476044,8.8,50.2,285.0,0.009,0.009,113,33,11156,3,1,23
2018-01-01,2018,1,1,Supaul,Bihar,2218876,3.7,19.8,115.4,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Saharsa,Bihar,1900661,6.6,37.8,173.6,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Khagaria,Bihar,1666886,8.4,35.9,203.7,0.044,0.035,590,153,65498,59,13,105
2018-01-01,2018,1,1,Katihar,Bihar,3071029,3.4,27.8,105.7,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Muzaffarpur,Bihar,4801062,2.1,12.0,59.5,0.06,0.063,5478,1827,599698,949,94,1226
2018-01-01,2018,1,1,Bhagalpur,Bihar,3037766,5.6,23.6,100.0,0.0,0.0,0,0,0,0,0,0
2018-01-01,2018,1,1,Gopalganj,Bihar,2562012,6.5,50.8,175.5,0.063,0.059,604,171,58952,101,14,116
2018-01-08,2018,1,2,Puri,Odisha,1497888,5.6,41.9,133.5,0.041,0.038,503,132,56339,55,8,104
2018-01-08,2018,1,2,Kendrapara,Odisha,1439891,4.8,39.2,153.7,0.037,0.039,333,95,38648,37,5,67
2018-01-08,2018,1,2,Jagatsinghpur,Odisha,1136605,5.3,35.3,89.5,0.019,0.018,221,56,23332,12,4,46
2018-01-08,2018,1,2,Balasore,Odisha,2317419,3.1,16.7,91.1,0.069,0.071,3083,1077,324816,654,69,644
2018-01-08,2018,1,2,Bhadrak,Odisha,1506522,6.9,54.8,145.6,0.033,0.028,115,35,10393,9,2,21
2018-01-08,2018,1,2,Cuttack,Odisha,2618708,4.2,18.2,124.3,0.004,0.003,9,2,1021,0,0,1
